"year","gsa","species","landings_FDI","landings_AER"
2008,"9","MUT",NA,41228.4
2009,"9","MUT",NA,71623.63
2010,"9","MUT",NA,62321.59
2011,"9","MUT",NA,677795.25
2012,"9","MUT",NA,433696.53
