"year","landings"
2003,322.549198
2004,375.2385
2005,430.9434
2006,462.40605
2007,217.43098
2008,254.00044
2009,303.14069
2010,473.29438
2011,551.03147
2012,621.24934
2013,575.66107
2014,561.46492
2015,791.44936
2016,835.61
2017,856.83338
