"year","discards"
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,38.35542
2010,27.100131
2011,63.262841
2012,7.568045
2013,30.040906
2014,44.978926
2015,89.320018
2016,34.938732
2017,41.466594
