"year","gear","tot_val"
2017,"GNS",0
2017,"GNS",0
2017,"GNS",0
2017,"GNS",0
2017,"GNS",0
2017,"GNS",0
2017,"GNS",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",217.57813
2016,"OTB",303.419146
2016,"OTB",318.66648
2016,"OTB",966.778852
2016,"OTB",936.310234
2016,"OTB",1797.895656
2016,"OTB",3278.402279
2016,"OTB",4933.225954
2016,"OTB",5291.307486
2016,"OTB",7186.247162
2016,"OTB",8553.612275
2016,"OTB",10558.020167
2016,"OTB",9826.997816
2016,"OTB",7958.407273
2016,"OTB",5480.807904
2016,"OTB",3531.846368
2016,"OTB",3711.697083
2016,"OTB",3105.546346
2016,"OTB",3256.401329
2016,"OTB",2343.628886
2016,"OTB",1569.483794
2016,"OTB",1360.600533
2016,"OTB",698.619614
2016,"OTB",527.326635
2016,"OTB",339.52531
2016,"OTB",260.298182
2016,"OTB",339.710737
2016,"OTB",626.19377
2016,"OTB",200.125239
2016,"OTB",259.303982
2016,"OTB",63.111484
2016,"OTB",39.995466
2016,"OTB",10.439207
2016,"OTB",3.303492
2016,"OTB",0
2016,"OTB",3.303492
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",1.321669
2016,"OTB",5.286677
2016,"OTB",29.888573
2016,"OTB",45.441746
2016,"OTB",78.889402
2016,"OTB",55.505281
2016,"OTB",50.010816
2016,"OTB",89.660892
2016,"OTB",135.612458
2016,"OTB",130.939494
2016,"OTB",72.177162
2016,"OTB",41.476739
2016,"OTB",25.413746
2016,"OTB",20.839851
2016,"OTB",6.098527
2016,"OTB",0.608888
2016,"OTB",0.202963
2016,"OTB",1.321669
2016,"OTB",0
2016,"OTB",0.202963
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",2.727003
2016,"OTB",0
2016,"OTB",0.678652
2016,"OTB",0.678652
2016,"OTB",1.357304
2016,"OTB",70.883751
2016,"OTB",54.613508
2016,"OTB",71.016332
2016,"OTB",225.590257
2016,"OTB",349.311376
2016,"OTB",1273.703065
2016,"OTB",1443.471532
2016,"OTB",852.191879
2016,"OTB",793.346219
2016,"OTB",786.592043
2016,"OTB",996.691288
2016,"OTB",1385.917414
2016,"OTB",978.926239
2016,"OTB",582.617538
2016,"OTB",593.879397
2016,"OTB",571.868052
2016,"OTB",671.871713
2016,"OTB",452.032368
2016,"OTB",332.698955
2016,"OTB",223.239398
2016,"OTB",207.361484
2016,"OTB",329.066351
2016,"OTB",667.485687
2016,"OTB",244.247135
2016,"OTB",284.3994
2016,"OTB",149.649042
2016,"OTB",98.258865
2016,"OTB",9.672555
2016,"OTB",17.475228
2016,"OTB",21.199377
2016,"OTB",34.950457
2016,"OTB",14.501025
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2016,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",372.056332
2015,"OTB",210.216134
2015,"OTB",1653.806396
2015,"OTB",1616.282927
2015,"OTB",1619.525242
2015,"OTB",2646.284707
2015,"OTB",3160.141931
2015,"OTB",4618.405536
2015,"OTB",5586.890763
2015,"OTB",6968.239065
2015,"OTB",6412.491835
2015,"OTB",6425.643268
2015,"OTB",7924.093442
2015,"OTB",10407.408748
2015,"OTB",7992.006993
2015,"OTB",6712.728396
2015,"OTB",5275.813269
2015,"OTB",5463.471376
2015,"OTB",5404.732014
2015,"OTB",5261.451554
2015,"OTB",3006.446244
2015,"OTB",3138.073407
2015,"OTB",2656.537723
2015,"OTB",1625.233286
2015,"OTB",890.589531
2015,"OTB",891.802728
2015,"OTB",415.03208
2015,"OTB",174.55224
2015,"OTB",152.920595
2015,"OTB",158.10854
2015,"OTB",13.565871
2015,"OTB",6.554396
2015,"OTB",20.155227
2015,"OTB",3.641331
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
