"YEAR","COUNTRY","GSA","SPECIES","GEAR","LANDINGS","DATA_CALL"
2018,"ITA","GSA18","HKE","GNS",15.40226,"MEDBS"
2018,"ITA","GSA18","HKE","GTR",0.23343,"MEDBS"
2018,"ITA","GSA18","HKE","LLS",334.74047,"MEDBS"
2018,"ITA","GSA18","HKE","OTB",1649.8771,"MEDBS"
2018,"ITA","GSA18","HKE","GNS",15.404,"FDI"
2018,"ITA","GSA18","HKE","GTR",0.234,"FDI"
2018,"ITA","GSA18","HKE","LLS",334.741,"FDI"
2018,"ITA","GSA18","HKE","OTB",1649.878,"FDI"
