"YEAR","COUNTRY","GSA","SPECIES","LANDINGS","DATA_CALL"
2018,"ITA","GSA18","HKE",2000.25326,"MEDBS"
2018,"ITA","GSA18","HKE",2000.257,"FDI"
2018,"ITA","GSA18","HKE",2000.25326,"AER"
