Reference_Year;CPC;GSA;Species;Sex;L50;Reference;Comments
2019;ITA;19;HKE;F;33.6;;
2019;ITA;19;HKE;M;17.8;;
2019;ITA;19;MTS;F;20.3;;
2019;ITA;19;MUT;F;11.4;;
2019;ITA;19;MUT;M;10.4;;
