country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;supra_region;sub_region;eez_indicator;geo_indicator;specon_tech;deep;totseadays;totkwdaysatsea;totgtdaysatsea;totfishdays;totkwfishdays;totgtfishdays;hrsea;kwhrsea;gthrsea;totves;confidential
ITA;2014;2;VL0612;DTS;NK;NK;NK;NK;MBS;GSA18;NK;NGI;NA;NA;917.357639;76826.38571;4660.918105;917.32;76823.23354;4660.726869;4703.904955;393940.1615;23899.63831;21;N
ITA;2014;2;VL0612;DTS;OTB;DEF;40D50;OTB_DEF_>=40_0_0;MBS;GSA18;NK;NGI;NA;NA;1147.461571;96097.00895;5830.032023;1147.45;96096.0399;5829.973232;8939.269649;748641.2592;45418.71347;39;N
ITA;2014;2;VL0612;PGP;FPO;DEF;NK;FPO_DEF_>0_0_0;MBS;GSA18;NK;NGI;NA;NA;1095.507339;54457.90656;2623.621701;1355.21;67367.78197;3245.581513;8471.33592;421111.9393;20287.93416;123;N
ITA;2014;2;VL0612;PGP;FYK;DEF;NK;FYK_DEF_>0_0_0;MBS;GSA18;NK;NGI;NA;NA;3012.489526;149751.5054;7214.586901;3413.72;169696.7589;8175.49053;18966.71506;942839.5046;45423.23312;109;N
ITA;2014;2;VL0612;PGP;GNS;DEF;16D20;GNS_DEF_>=16_0_0;MBS;GSA18;NK;NGI;NA;NA;7570.704724;376341.3679;18131.01976;7951.64;395277.7428;19043.31859;57476.89376;2857188.81;137650.9499;107;N
