Species;min;max
ANE;5;100
BOG;5;100
CTC;5;100
DGS;5;100
DPS;5;100
EDT;5;100
EOI;5;100
ETX;5;100
HKE;5;100
JAI;5;100
JRS;5;100
MTS;5;100
MUT;5;100
MYL;5;100
NEP;5;100
OCC;5;100
PAC;5;100
PIL;5;100
QUB;5;100
RJC;5;100
RJO;5;100
SCK;5;100
SHO;5;100
SOL;5;100
SPC;5;100
SYC;5;100
