Species;Sex;minL50;maxL50
CTC;F+M;5;100
CTC;F;5;100
CTC;M;5;100
DPS;F;5;100
DPS;M;5;100
DPS;F+M;5;100
HKE;F;5;100
HKE;M;5;100
HKE;F+M;5;100
MTS;F;5;100
MTS;M;5;100
MTS;F+M;5;100
MUT;F;5;100
MUT;M;5;100
MUT;F+M;5;100
NEP;F;5;100
NEP;M;5;100
NEP;F+M;5;100
SOL;F+M;5;100
SOL;F;5;100
SOL;M;5;100
ARA;F;5;100
ARA;M;5;100
ARA;F+M;5;100
ARS;F;5;100
ARS;M;5;100
ARS;F+M;5;100
ANE;F+M;5;100
ANE;F;5;100
ANE;M;5;100
PIL;F+M;5;100
PIL;F;5;100
PIL;M;5;100
SAA;F+M;5;100
SAA;F;5;100
SAA;M;5;100
