"year","gsa","species","landings_FDI","landings_AER","% diff"
2013,"9","MUT",693859,389751.2,"43.8285%"
2014,"9","MUT",1181493,477140.47,"59.6155%"
2015,"9","MUT",1184980,473723.24,"60.0227%"
2016,"9","MUT",1222183,761882.3,"37.6622%"
2018,"9","MUT",1206714,63103.38,"94.7706%"
